ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000039629.14,57.59326205,0.5089894712,0.1517272041,3.354635539,0.0007946961118,0.005144283575,Strip2,1.423053076
ENSMUSG00000093105.1,13.78064423,0.5084751676,0.1495914955,3.399091411,0.0006761011546,0.004474074792,Gm25535,1.422545865
ENSMUSG00000079481.11,680.8769432,0.5078729349,0.08447872165,6.011844462,1.83E-09,4.71E-08,Nhsl2,1.421952167
ENSMUSG00000074398.5,61.39697926,0.5077559315,0.139646344,3.636013067,0.0002768902923,0.002060865598,Gm15441,1.42183685
ENSMUSG00000025467.8,101.8141441,0.5067978388,0.1370997452,3.696562953,0.0002185380868,0.001680209493,Prap1,1.420892923
ENSMUSG00000019278.5,19984.14436,0.5067147456,0.08555856201,5.922431767,3.17E-09,7.79E-08,Dpep1,1.420811088
ENSMUSG00000020627.9,2055.675853,0.506082454,0.07108346547,7.119552356,1.08E-12,4.67E-11,Klhl29,1.420188524
ENSMUSG00000098035.1,19.14708072,0.5059583672,0.1506443989,3.358627144,0.0007833067778,0.005080890339,Gm5335,1.420066378
ENSMUSG00000034220.7,11049.49972,0.5057577431,0.06506499032,7.773116396,7.66E-15,4.56E-13,Gpc1,1.419868915
ENSMUSG00000025355.6,767.6199318,0.5053930387,0.0883092896,5.722988385,1.05E-08,2.28E-07,Mmp19,1.419510026
ENSMUSG00000084960.1,107.0891188,0.5052762824,0.1306107354,3.868566248,0.0001094771935,0.0009317270242,B430010I23Rik,1.419395151
ENSMUSG00000024659.14,167277.9678,0.5042044625,0.05184995663,9.724298636,2.38E-22,4.2E-20,Anxa1,1.418341032
ENSMUSG00000110496.1,159.3884269,0.5040317989,0.110981559,4.541581532,5.58E-06,6.66E-05,RP23-8D10.2,1.418171294
ENSMUSG00000000296.8,904.1220045,0.5037238619,0.06435154087,7.827689207,4.97E-15,3.05E-13,Tpd52l1,1.417868623
ENSMUSG00000057280.15,726.0872997,0.5032299435,0.08644116113,5.821647198,5.83E-09,1.36E-07,Musk,1.417383288
ENSMUSG00000049580.12,4198.064055,0.5012289495,0.0513120823,9.768244184,1.54E-22,2.84E-20,Tsku,1.415418763
ENSMUSG00000032599.12,7301.492959,0.5010347282,0.04339138241,11.54687176,7.66E-31,4.87E-28,Ip6k2,1.415228227
ENSMUSG00000000530.16,875.0079757,0.5006323258,0.09894257578,5.059827095,4.2E-07,6.57E-06,Acvrl1,1.414833541
ENSMUSG00000032374.14,1375.504191,0.5002399854,0.06879242311,7.27173085,3.55E-13,1.68E-11,Plod2,1.41444883
ENSMUSG00000018623.9,13.55393355,0.5002029243,0.1456392261,3.434534346,0.0005935728457,0.00399783525,Mmp7,1.414412495
ENSMUSG00000092190.1,44.05972779,0.4998668056,0.142606653,3.505213782,0.0004562407707,0.003184680643,Gm20470,1.414083004
ENSMUSG00000045912.8,38.15647286,0.4997084002,0.1504723884,3.320930873,0.000897177556,0.005717967141,C2cd4c,1.413927748
ENSMUSG00000073879.4,434.8518628,0.4988141804,0.1362986931,3.659713597,0.0002524972992,0.001903211205,Gm5859,1.413051631
ENSMUSG00000052477.15,103.8246023,0.4985253939,0.1382496341,3.605979843,0.0003109772765,0.002279238387,C130026I21Rik,1.412768806
ENSMUSG00000074639.6,251.9210355,0.4981570985,0.1106781869,4.500951022,6.77E-06,7.89E-05,BC089597,1.412408196
ENSMUSG00000024593.15,565.6853182,0.4976461142,0.0873614595,5.696403392,1.22E-08,2.63E-07,Megf10,1.411908028
ENSMUSG00000096992.3,194.9058825,0.4972480804,0.1259862393,3.946844377,7.92E-05,0.0007028680449,Gm26788,1.411518542
ENSMUSG00000042246.5,240.6611713,0.4965352853,0.1182789704,4.198001417,2.69E-05,0.0002703852539,Tmc7,1.410821323
ENSMUSG00000015970.18,952.9745286,0.4963099637,0.08738023157,5.6798884,1.35E-08,2.88E-07,Chdh,1.410600996
ENSMUSG00000012296.15,4359.063886,0.49610496,0.04977468146,9.967014261,2.13E-23,4.3E-21,Tjap1,1.410400567
ENSMUSG00000047963.7,748.7711815,0.4958053826,0.07763454682,6.386401453,1.7E-10,5.19E-09,Stbd1,1.410107726
ENSMUSG00000071636.6,43.89568361,0.4955763909,0.1492675227,3.320055038,0.0008999970295,0.005732899785,Rimbp3,1.409883925
ENSMUSG00000086172.1,37.6996911,0.4953787516,0.1497007544,3.309126621,0.0009358750173,0.005913848911,2700068H02Rik,1.409690794
ENSMUSG00000085303.3,17.1473614,0.4945219645,0.1520072551,3.253278695,0.001140815488,0.007013937605,Gm16751,1.408853856
ENSMUSG00000039960.5,2913.603448,0.4938002896,0.05348562886,9.232391955,2.65E-20,3.37E-18,Rhou,1.408149285
ENSMUSG00000049191.12,221.7328704,0.492989479,0.1143242005,4.312205787,1.62E-05,0.0001724791495,Rgag4,1.407358112
ENSMUSG00000015966.16,58.62422075,0.4926303462,0.1479584318,3.329518571,0.0008699626255,0.005570010707,Il17rb,1.407007819
ENSMUSG00000085967.1,87.75164969,0.4923860617,0.1342340351,3.668116371,0.000244343974,0.001853328825,Gm12530,1.406769598
