ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000025464.15,3394.294469,0.7052474639,0.06529025449,10.80172637,3.38E-27,3.5E-25,Paox,1.630424306
ENSMUSG00000028909.17,2857.648252,0.7050140381,0.09734258525,7.242606473,4.4E-13,9.66E-12,Ptpru,1.630160527
ENSMUSG00000063320.11,700.2704959,0.7042665089,0.07210002074,9.767909935,1.55E-22,9.96E-21,1190007I07Rik,1.629316082
ENSMUSG00000020627.9,2055.675853,0.7036787891,0.07599376225,9.259691432,2.05E-20,1.06E-18,Klhl29,1.628652472
ENSMUSG00000020926.16,595.5271833,0.7032397327,0.1005533249,6.993699449,2.68E-12,5.37E-11,Adam11,1.628156899
ENSMUSG00000028980.14,6877.793419,0.7031187778,0.06595197965,10.66107161,1.55E-26,1.5E-24,H6pd,1.6280204
ENSMUSG00000000686.11,48.34789053,0.7028066301,0.1494977359,4.701118888,2.59E-06,2.17E-05,Abhd15,1.627668193
ENSMUSG00000016024.9,898.1458001,0.7018920262,0.1404498476,4.997456658,5.81E-07,5.48E-06,Lbp,1.626636651
ENSMUSG00000029135.10,101837.1707,0.7014885602,0.05499668242,12.75510684,2.92E-37,8.29E-35,Fosl2,1.626181808
ENSMUSG00000059456.13,10684.82295,0.7009719226,0.06052348213,11.58181747,5.1E-31,7.51E-29,Ptk2b,1.625599567
ENSMUSG00000085403.1,22.0866493,0.700738094,0.1508227489,4.64610345,3.38E-06,2.75E-05,Gm13068,1.625336115
ENSMUSG00000061013.5,2253.886609,0.6999123286,0.08595943449,8.142356134,3.88E-16,1.27E-14,Mkx,1.624406076
ENSMUSG00000005220.10,52.37894585,0.6995632724,0.1501173144,4.660110496,3.16E-06,2.59E-05,Corin,1.624013103
ENSMUSG00000056749.7,173.5629642,0.6980947487,0.1400780864,4.983611404,6.24E-07,5.84E-06,Nfil3,1.622360856
ENSMUSG00000012296.15,4359.063886,0.6979163028,0.05360771709,13.01895213,9.55E-39,3.28E-36,Tjap1,1.6221602
ENSMUSG00000042429.8,941.6145123,0.6961714348,0.09545413707,7.293255758,3.03E-13,6.79E-12,Adora1,1.620199463
ENSMUSG00000015950.13,224.5214877,0.6958653714,0.1210358158,5.749251714,8.96E-09,1.13E-07,Ncf1,1.619855779
ENSMUSG00000027895.9,47.44839405,0.6951375888,0.143252262,4.852541797,1.22E-06,1.09E-05,Kcnc4,1.619038832
ENSMUSG00000042842.10,621.4150578,0.6949605117,0.09545788984,7.280283619,3.33E-13,7.42E-12,Serpinb6b,1.618840123
ENSMUSG00000024561.8,13887.92389,0.6936995697,0.05807097475,11.9457194,6.84E-33,1.2E-30,Mbd1,1.617425845
ENSMUSG00000030306.14,2543.888607,0.6925474358,0.104287663,6.640741731,3.12E-11,5.52E-10,Tmtc1,1.616134687
ENSMUSG00000107605.1,21.68117399,0.6919624719,0.1509124816,4.585190466,4.54E-06,3.6E-05,Gm44117,1.615479532
ENSMUSG00000028864.7,104.5589054,0.6919083685,0.1444991662,4.788320838,1.68E-06,1.46E-05,Hgf,1.61541895
ENSMUSG00000008540.11,2416.795494,0.6914804043,0.08825037751,7.835438486,4.67E-15,1.31E-13,Mgst1,1.61493982
ENSMUSG00000039196.2,8.846471242,0.6913651911,0.1249037415,5.535183996,3.11E-08,3.6E-07,Orm1,1.614810856
ENSMUSG00000026991.20,41212.54493,0.6908368723,0.05548621611,12.45060342,1.39E-35,3.23E-33,Pkp4,1.614219616
ENSMUSG00000079481.11,680.8769432,0.6907152924,0.09070308543,7.615124547,2.63E-14,6.68E-13,Nhsl2,1.614083587
ENSMUSG00000020598.15,131.650541,0.6900615587,0.1464190994,4.712920386,2.44E-06,2.05E-05,Nrcam,1.613352357
ENSMUSG00000039481.5,510.8151145,0.6894101044,0.119296029,5.778986191,7.52E-09,9.58E-08,Nrtn,1.612624007
ENSMUSG00000017969.13,5414.209275,0.6886941407,0.06389368058,10.77875205,4.34E-27,4.42E-25,Ptgis,1.611823911
ENSMUSG00000054843.8,4313.561287,0.6884466037,0.05432075425,12.67373057,8.27E-37,2.19E-34,Atrnl1,1.611547379
ENSMUSG00000026131.18,87525.36708,0.6884282123,0.04294731919,16.02959685,7.94E-58,4.57E-54,Dst,1.611526835
ENSMUSG00000049892.7,30.66261919,0.6876139792,0.1468104612,4.683685164,2.82E-06,2.34E-05,Rasd1,1.610617573
ENSMUSG00000020387.15,7855.697191,0.6870869278,0.05083640921,13.51564634,1.26E-41,6.61E-39,Jade2,1.610029283
ENSMUSG00000041831.15,1577.229872,0.6859407619,0.06982261494,9.82404859,8.87E-23,5.83E-21,Sytl3,1.608750684
ENSMUSG00000015970.18,952.9745286,0.685350713,0.09312785224,7.359245344,1.85E-13,4.26E-12,Chdh,1.608092854
ENSMUSG00000098035.1,19.14708072,0.6815085615,0.1489612115,4.575073972,4.76E-06,3.76E-05,Gm5335,1.603815917
ENSMUSG00000086706.7,186.3076342,0.6805394053,0.1055911204,6.44504389,1.16E-10,1.92E-09,Gm15848,1.602738887
ENSMUSG00000050164.10,1854.513456,0.6800126422,0.0760846072,8.937584975,3.98E-19,1.76E-17,Mchr1,1.602153795
ENSMUSG00000032179.7,51.6733261,0.6796690164,0.1518530025,4.475835217,7.61E-06,5.79E-05,Bmp5,1.601772234
ENSMUSG00000052934.14,4547.550725,0.6793647005,0.05733860931,11.848294,2.2E-32,3.66E-30,Fbxo31,1.601434399
ENSMUSG00000022603.9,73.76970626,0.67924089,0.1450420601,4.683061516,2.83E-06,2.35E-05,Mroh4,1.601296971
ENSMUSG00000030711.15,5445.105996,0.6786434259,0.08744855002,7.760488032,8.46E-15,2.28E-13,Sult1a1,1.600633962
ENSMUSG00000024076.9,1585.770556,0.6785037247,0.1069530593,6.343939379,2.24E-10,3.59E-09,Vit,1.600478975
ENSMUSG00000050069.3,235.8413162,0.6780963572,0.1309816135,5.177034693,2.25E-07,2.28E-06,Grem2,1.600027119
ENSMUSG00000066704.6,6899.472782,0.6778289143,0.09373531017,7.231308171,4.78E-13,1.05E-11,Cyp2b19,1.599730537
ENSMUSG00000021567.14,2358.655103,0.6777940096,0.1069336956,6.338451187,2.32E-10,3.72E-09,Nkd2,1.599691834
ENSMUSG00000024843.15,3362.994465,0.6758449526,0.06592919603,10.25107226,1.17E-24,9.31E-23,Chka,1.597532136
ENSMUSG00000044824.7,32.474721,0.6748884465,0.1510924854,4.466724106,7.94E-06,6.02E-05,Olfr545,1.596473324
ENSMUSG00000078430.2,7.311172366,0.6738729318,0.120011837,5.615053886,1.97E-08,2.35E-07,Gm10936,1.59534996
ENSMUSG00000029322.12,40899.39763,0.6728985111,0.07267474131,9.259042399,2.06E-20,1.06E-18,Plac8,1.594272797
ENSMUSG00000024659.14,167277.9678,0.6719214229,0.05569643264,12.06399389,1.64E-33,3.06E-31,Anxa1,1.593193416
ENSMUSG00000034858.16,4243.340209,0.6697149378,0.057397863,11.66794202,1.86E-31,2.83E-29,Fam214a,1.590758618
ENSMUSG00000093105.1,13.78064423,0.6687499542,0.1487273118,4.496483841,6.91E-06,5.3E-05,Gm25535,1.589694954
ENSMUSG00000026768.10,534.0795348,0.6671424503,0.1353415326,4.929325368,8.25E-07,7.58E-06,Itga8,1.587924644
ENSMUSG00000020839.16,1708.172901,0.6670026329,0.08157494913,8.176562046,2.92E-16,9.74E-15,Tmigd1,1.58777076
ENSMUSG00000085184.9,1194.937169,0.6662196594,0.07562844497,8.809114873,1.26E-18,5.35E-17,4933439K11Rik,1.586909285
ENSMUSG00000054150.11,1296.38968,0.6651902957,0.08575495871,7.756872672,8.7E-15,2.34E-13,Syne3,1.585777428
ENSMUSG00000045382.6,81.95912494,0.6646586111,0.1451779741,4.578233133,4.69E-06,3.71E-05,Cxcr4,1.58519312
ENSMUSG00000040170.13,3910.03317,0.6628964043,0.1340404985,4.945493427,7.6E-07,7.02E-06,Fmo2,1.583258039
ENSMUSG00000031289.10,27.25505956,0.6625476522,0.1467832755,4.513781629,6.37E-06,4.92E-05,Il13ra2,1.582875354
ENSMUSG00000111765.1,45.32981518,0.6622807,0.1475345023,4.488988608,7.16E-06,5.48E-05,RP24-279F18.1,1.58258249
ENSMUSG00000082100.1,1306.995181,0.6619089432,0.0944766491,7.006058635,2.45E-12,4.94E-11,Glns-ps1,1.582174739
ENSMUSG00000048402.14,1105.763995,0.6618635361,0.09246718302,7.15782091,8.2E-13,1.74E-11,Gli2,1.582124943
ENSMUSG00000003882.4,40.26002316,0.6615584841,0.1512698453,4.373366568,1.22E-05,8.93E-05,Il7r,1.581790444
ENSMUSG00000059173.19,271.5048149,0.6614136648,0.1277315153,5.17815563,2.24E-07,2.27E-06,Pde1a,1.58163167
ENSMUSG00000078915.1,3799.078018,0.6611260942,0.08792766851,7.518976739,5.52E-14,1.35E-12,Hsp25-ps1,1.581316437
ENSMUSG00000036833.16,2583.360867,0.660768718,0.05326183745,12.40604436,2.42E-35,5.52E-33,Pnpla7,1.580924771
ENSMUSG00000108213.1,23.17023266,0.6593104511,0.1505553224,4.379190589,1.19E-05,8.72E-05,Gm44172,1.57932759
ENSMUSG00000110496.1,159.3884269,0.6576207987,0.1137215098,5.782730108,7.35E-09,9.39E-08,RP23-8D10.2,1.577478999
ENSMUSG00000037411.10,1180.460147,0.6571799333,0.1287427272,5.104598509,3.31E-07,3.26E-06,Serpine1,1.576997019
ENSMUSG00000044748.8,20543.80425,0.6546208745,0.05776252971,11.33296755,9.01E-30,1.16E-27,Defb1,1.574202215
ENSMUSG00000021120.10,4723.658648,0.6545275986,0.04947756479,13.22877554,5.99E-40,2.22E-37,Pigh,1.57410044
