From	To	Species	Gene Name
KCTD7	ENSMUST00000144878	Mus musculus	potassium channel tetramerisation domain containing 7(Kctd7)
PDIA4	ENSMUST00000077290	Mus musculus	protein disulfide isomerase associated 4(Pdia4)
PDIA4	ENSMUST00000204029	Mus musculus	protein disulfide isomerase associated 4(Pdia4)
ALDH3A1	ENSMUST00000147792	Mus musculus	aldehyde dehydrogenase family 3, subfamily A1(Aldh3a1)
ALDH3A1	ENSMUST00000019246	Mus musculus	aldehyde dehydrogenase family 3, subfamily A1(Aldh3a1)
ALDH3A1	ENSMUST00000108716	Mus musculus	aldehyde dehydrogenase family 3, subfamily A1(Aldh3a1)
RPL7L1	ENSMUST00000078286	Mus musculus	ribosomal protein L7-like 1(Rpl7l1)
CSF2RB	ENSMUST00000096355	Mus musculus	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)(Csf2rb)
ADRB1	ENSMUST00000038949	Mus musculus	adrenergic receptor, beta 1(Adrb1)
CPLX2	ENSMUST00000026985	Mus musculus	complexin 2(Cplx2)
DPP3	ENSMUST00000025851	Mus musculus	dipeptidylpeptidase 3(Dpp3)
SCIN	ENSMUST00000078481	Mus musculus	scinderin(Scin)
SCIN	ENSMUST00000002640	Mus musculus	scinderin(Scin)
ALDH3B1	ENSMUST00000051803	Mus musculus	aldehyde dehydrogenase 3 family, member B1(Aldh3b1)
MYH14	ENSMUST00000208200	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000209024	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000208131	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000208044	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000208085	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000048102	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000107899	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000107900	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MYH14	ENSMUST00000207775	Mus musculus	myosin, heavy polypeptide 14(Myh14)
MARK2	ENSMUST00000171044	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000171352	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000165286	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000168324	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000168852	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000171721	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000025921	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000165881	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000168872	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000169541	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000170768	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000166461	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000165965	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000032557	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000164205	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000164129	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000165989	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000167767	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000163345	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000051711	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
MARK2	ENSMUST00000171393	Mus musculus	MAP/microtubule affinity regulating kinase 2(Mark2)
WSCD1	ENSMUST00000132095	Mus musculus	WSC domain containing 1(Wscd1)
WSCD1	ENSMUST00000150531	Mus musculus	WSC domain containing 1(Wscd1)
WSCD1	ENSMUST00000021168	Mus musculus	WSC domain containing 1(Wscd1)
WSCD1	ENSMUST00000108511	Mus musculus	WSC domain containing 1(Wscd1)
WSCD1	ENSMUST00000108510	Mus musculus	WSC domain containing 1(Wscd1)
WSCD1	ENSMUST00000138339	Mus musculus	WSC domain containing 1(Wscd1)
ALYREF	ENSMUST00000026125	Mus musculus	Aly/REF export factor(Alyref)
ALYREF	ENSMUST00000155325	Mus musculus	Aly/REF export factor(Alyref)
ALYREF	ENSMUST00000156685	Mus musculus	Aly/REF export factor(Alyref)
TBCD	ENSMUST00000106093	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000139414	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000147560	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000151666	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000103013	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000155666	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000125167	Mus musculus	tubulin-specific chaperone d(Tbcd)
TBCD	ENSMUST00000147470	Mus musculus	tubulin-specific chaperone d(Tbcd)
ASPSCR1	ENSMUST00000103016	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000127269	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000149389	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000131727	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000129644	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000153346	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000151531	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
