From	To	Species	Gene Name
NUP107	ENSMUST00000064848	Mus musculus	nucleoporin 107(Nup107)
NUP107	ENSMUST00000167943	Mus musculus	nucleoporin 107(Nup107)
POP4	ENSMUST00000206045	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000206221	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000032585	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205959	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205899	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205753	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
NOC2L	ENSMUST00000179886	Mus musculus	NOC2 like nucleolar associated transcriptional repressor(Noc2l)
NOC2L	ENSMUST00000179543	Mus musculus	NOC2 like nucleolar associated transcriptional repressor(Noc2l)
ALKBH3	ENSMUST00000126378	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000138107	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000125473	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000138046	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000111240	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000040005	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000126255	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000156763	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000127231	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000130289	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000130403	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
RAVER2	ENSMUST00000148148	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
RAVER2	ENSMUST00000038463	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
RAVER2	ENSMUST00000106955	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
DPYSL3	ENSMUST00000121805	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000118043	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000025379	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000135547	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000118071	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000124207	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
PRKACA	ENSMUST00000005606	Mus musculus	protein kinase, cAMP dependent, catalytic, alpha(Prkaca)
UNC5C	ENSMUST00000130636	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000151007	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000155416	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000123631	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000075282	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000142762	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000106236	Mus musculus	unc-5 netrin receptor C(Unc5c)
UNC5C	ENSMUST00000200114	Mus musculus	unc-5 netrin receptor C(Unc5c)
MTHFD1	ENSMUST00000021443	Mus musculus	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase(Mthfd1)
PLBD1	ENSMUST00000032336	Mus musculus	phospholipase B domain containing 1(Plbd1)
PLBD1	ENSMUST00000205021	Mus musculus	phospholipase B domain containing 1(Plbd1)
PLBD1	ENSMUST00000137139	Mus musculus	phospholipase B domain containing 1(Plbd1)
PLBD1	ENSMUST00000133911	Mus musculus	phospholipase B domain containing 1(Plbd1)
AGTR2	ENSMUST00000089188	Mus musculus	angiotensin II receptor, type 2(Agtr2)
AGTR2	ENSMUST00000131150	Mus musculus	angiotensin II receptor, type 2(Agtr2)
OPTN	ENSMUST00000114996	Mus musculus	optineurin(Optn)
OPTN	ENSMUST00000125203	Mus musculus	optineurin(Optn)
OPTN	ENSMUST00000143809	Mus musculus	optineurin(Optn)
OPTN	ENSMUST00000027986	Mus musculus	optineurin(Optn)
OPTN	ENSMUST00000145501	Mus musculus	optineurin(Optn)
RABL6	ENSMUST00000140785	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000146012	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000128942	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000058137	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000135084	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000143855	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000150206	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000140635	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
RABL6	ENSMUST00000140778	Mus musculus	RAB, member RAS oncogene family-like 6(Rabl6)
LYPD3	ENSMUST00000080718	Mus musculus	Ly6/Plaur domain containing 3(Lypd3)
PLA2G5	ENSMUST00000102511	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000140117	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000154844	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000030524	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000140100	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000136393	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000102513	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000127183	Mus musculus	phospholipase A2, group V(Pla2g5)
PLA2G5	ENSMUST00000102512	Mus musculus	phospholipase A2, group V(Pla2g5)
LYPD6	ENSMUST00000126337	Mus musculus	LY6/PLAUR domain containing 6(Lypd6)
LYPD6	ENSMUST00000053208	Mus musculus	LY6/PLAUR domain containing 6(Lypd6)
LYPD6	ENSMUST00000128451	Mus musculus	LY6/PLAUR domain containing 6(Lypd6)
LYPD6	ENSMUST00000169232	Mus musculus	LY6/PLAUR domain containing 6(Lypd6)
LYPD6	ENSMUST00000112712	Mus musculus	LY6/PLAUR domain containing 6(Lypd6)
ADAMTS16	ENSMUST00000130726	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16(Adamts16)
ADAMTS16	ENSMUST00000109694	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16(Adamts16)
ADAMTS16	ENSMUST00000123552	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16(Adamts16)
ADAMTS16	ENSMUST00000080145	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16(Adamts16)
RDH10	ENSMUST00000152626	Mus musculus	retinol dehydrogenase 10 (all-trans)(Rdh10)
RDH10	ENSMUST00000027053	Mus musculus	retinol dehydrogenase 10 (all-trans)(Rdh10)
ADAMTS17	ENSMUST00000098382	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000125014	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000147880	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000154103	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000148538	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000107478	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000138009	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
ADAMTS17	ENSMUST00000156396	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17(Adamts17)
SFN	ENSMUST00000057311	Mus musculus	stratifin(Sfn)
SDR42E1	ENSMUST00000037955	Mus musculus	short chain dehydrogenase/reductase family 42E, member 1(Sdr42e1)
SDR42E1	ENSMUST00000173522	Mus musculus	short chain dehydrogenase/reductase family 42E, member 1(Sdr42e1)
SDR42E1	ENSMUST00000174450	Mus musculus	short chain dehydrogenase/reductase family 42E, member 1(Sdr42e1)
JAG1	ENSMUST00000133640	Mus musculus	jagged 1(Jag1)
JAG1	ENSMUST00000028735	Mus musculus	jagged 1(Jag1)
JUP	ENSMUST00000155746	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000001592	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000128268	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000151476	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000152774	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000149798	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000124659	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000123903	Mus musculus	junction plakoglobin(Jup)
JUP	ENSMUST00000107403	Mus musculus	junction plakoglobin(Jup)
LARP7	ENSMUST00000029588	Mus musculus	La ribonucleoprotein domain family, member 7(Larp7)
LARP7	ENSMUST00000197698	Mus musculus	La ribonucleoprotein domain family, member 7(Larp7)
LARP7	ENSMUST00000197668	Mus musculus	La ribonucleoprotein domain family, member 7(Larp7)
LARP7	ENSMUST00000195976	Mus musculus	La ribonucleoprotein domain family, member 7(Larp7)
EIF2AK4	ENSMUST00000005233	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000110870	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000110869	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000125281	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000110877	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000102527	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000110872	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
EIF2AK4	ENSMUST00000110874	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4(Eif2ak4)
BTBD10	ENSMUST00000117577	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
BTBD10	ENSMUST00000135510	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
BTBD10	ENSMUST00000129567	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
BTBD10	ENSMUST00000047091	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
BTBD10	ENSMUST00000119278	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
BTBD10	ENSMUST00000139650	Mus musculus	BTB (POZ) domain containing 10(Btbd10)
DHFR	ENSMUST00000022218	Mus musculus	dihydrofolate reductase(Dhfr)
VANGL1	ENSMUST00000029453	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000159388	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000159586	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000161021	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000168312	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000160226	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000161722	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
VANGL1	ENSMUST00000162361	Mus musculus	vang-like 1 (van gogh, Drosophila)(Vangl1)
TBL3	ENSMUST00000149326	Mus musculus	transducin (beta)-like 3(Tbl3)
TBL3	ENSMUST00000046534	Mus musculus	transducin (beta)-like 3(Tbl3)
TBL3	ENSMUST00000142362	Mus musculus	transducin (beta)-like 3(Tbl3)
TBL3	ENSMUST00000130633	Mus musculus	transducin (beta)-like 3(Tbl3)
TBL3	ENSMUST00000126319	Mus musculus	transducin (beta)-like 3(Tbl3)
VANGL2	ENSMUST00000111264	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
VANGL2	ENSMUST00000148363	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
VANGL2	ENSMUST00000153662	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
VANGL2	ENSMUST00000111263	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
VANGL2	ENSMUST00000027837	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
VANGL2	ENSMUST00000138714	Mus musculus	vang-like 2 (van gogh, Drosophila)(Vangl2)
FASN	ENSMUST00000055655	Mus musculus	fatty acid synthase(Fasn)
FASN	ENSMUST00000205905	Mus musculus	fatty acid synthase(Fasn)
FASN	ENSMUST00000146541	Mus musculus	fatty acid synthase(Fasn)
FASN	ENSMUST00000155276	Mus musculus	fatty acid synthase(Fasn)
FASN	ENSMUST00000206637	Mus musculus	fatty acid synthase(Fasn)
FASN	ENSMUST00000206589	Mus musculus	fatty acid synthase(Fasn)
FAT1	ENSMUST00000191558	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT1	ENSMUST00000189017	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT1	ENSMUST00000191428	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT1	ENSMUST00000189367	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT1	ENSMUST00000098796	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT1	ENSMUST00000186342	Mus musculus	FAT atypical cadherin 1(Fat1)
FAT2	ENSMUST00000068853	Mus musculus	FAT atypical cadherin 2(Fat2)
FAT2	ENSMUST00000108864	Mus musculus	FAT atypical cadherin 2(Fat2)
HYOU1	ENSMUST00000159473	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000066601	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000160112	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000161147	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000161318	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000161537	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000162560	Mus musculus	hypoxia up-regulated 1(Hyou1)
HYOU1	ENSMUST00000160902	Mus musculus	hypoxia up-regulated 1(Hyou1)
RNF220	ENSMUST00000138435	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000094853	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000150148	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000133971	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000154974	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000123222	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000102690	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000030439	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000128122	Mus musculus	ring finger protein 220(Rnf220)
RNF220	ENSMUST00000151829	Mus musculus	ring finger protein 220(Rnf220)
GM12666	ENSMUST00000123179	Mus musculus	predicted gene 12666(Gm12666)
KDM8	ENSMUST00000135129	Mus musculus	lysine (K)-specific demethylase 8(Kdm8)
KDM8	ENSMUST00000033010	Mus musculus	lysine (K)-specific demethylase 8(Kdm8)
ARHGAP1	ENSMUST00000111330	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000139314	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000111331	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000149426	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000154468	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000090614	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000141012	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000111329	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
ARHGAP1	ENSMUST00000123702	Mus musculus	Rho GTPase activating protein 1(Arhgap1)
MED19	ENSMUST00000141595	Mus musculus	mediator complex subunit 19(Med19)
MED19	ENSMUST00000102645	Mus musculus	mediator complex subunit 19(Med19)
SNX11	ENSMUST00000125025	Mus musculus	sorting nexin 11(Snx11)
SNX11	ENSMUST00000021246	Mus musculus	sorting nexin 11(Snx11)
SNX11	ENSMUST00000127375	Mus musculus	sorting nexin 11(Snx11)
SNX11	ENSMUST00000132354	Mus musculus	sorting nexin 11(Snx11)
SNX11	ENSMUST00000107661	Mus musculus	sorting nexin 11(Snx11)
SNX11	ENSMUST00000136799	Mus musculus	sorting nexin 11(Snx11)
MED16	ENSMUST00000170409	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000170375	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000166964	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000163125	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000165684	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000105378	Mus musculus	mediator complex subunit 16(Med16)
MED16	ENSMUST00000164705	Mus musculus	mediator complex subunit 16(Med16)
PANX1	ENSMUST00000166933	Mus musculus	pannexin 1(Panx1)
PANX1	ENSMUST00000056755	Mus musculus	pannexin 1(Panx1)
PANX1	ENSMUST00000164273	Mus musculus	pannexin 1(Panx1)
PANX1	ENSMUST00000169288	Mus musculus	pannexin 1(Panx1)
CHAF1B	ENSMUST00000128316	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000142316	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000124313	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000023666	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000152980	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000117099	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000120586	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
CHAF1B	ENSMUST00000143006	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
SMPD4	ENSMUST00000166091	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000170273	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000090159	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000165092	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000170366	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000165363	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000170401	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000170996	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000163592	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000171435	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000166322	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000168101	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000170117	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000167362	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000169662	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000164292	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000167592	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000163997	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000167217	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000163476	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000006053	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000087486	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
SMPD4	ENSMUST00000172182	Mus musculus	sphingomyelin phosphodiesterase 4(Smpd4)
CHAF1A	ENSMUST00000002914	Mus musculus	chromatin assembly factor 1, subunit A (p150)(Chaf1a)
NEFM	ENSMUST00000111089	Mus musculus	neurofilament, medium polypeptide(Nefm)
NEFM	ENSMUST00000022638	Mus musculus	neurofilament, medium polypeptide(Nefm)
STUM	ENSMUST00000179826	Mus musculus	mechanosensory transduction mediator(Stum)
STUM	ENSMUST00000136521	Mus musculus	mechanosensory transduction mediator(Stum)
DUSP4	ENSMUST00000033930	Mus musculus	dual specificity phosphatase 4(Dusp4)
DUSP3	ENSMUST00000107172	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000151678	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000107173	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000143177	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000125794	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000176261	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
DUSP3	ENSMUST00000003612	Mus musculus	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)(Dusp3)
KCND1	ENSMUST00000125440	Mus musculus	potassium voltage-gated channel, Shal-related family, member 1(Kcnd1)
KCND1	ENSMUST00000009875	Mus musculus	potassium voltage-gated channel, Shal-related family, member 1(Kcnd1)
SLC39A11	ENSMUST00000123153	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000146031	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000071539	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000149034	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000125890	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000042657	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000106633	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A11	ENSMUST00000136392	Mus musculus	solute carrier family 39 (metal ion transporter), member 11(Slc39a11)
SLC39A10	ENSMUST00000141226	Mus musculus	solute carrier family 39 (zinc transporter), member 10(Slc39a10)
SLC39A10	ENSMUST00000186852	Mus musculus	solute carrier family 39 (zinc transporter), member 10(Slc39a10)
SLC39A10	ENSMUST00000185520	Mus musculus	solute carrier family 39 (zinc transporter), member 10(Slc39a10)
SLC39A10	ENSMUST00000027131	Mus musculus	solute carrier family 39 (zinc transporter), member 10(Slc39a10)
MED29	ENSMUST00000003536	Mus musculus	mediator complex subunit 29(Med29)
MMP12	ENSMUST00000065079	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000127722	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000005950	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000148005	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000150167	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000138220	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP12	ENSMUST00000120655	Mus musculus	matrix metallopeptidase 12(Mmp12)
MMP11	ENSMUST00000000924	Mus musculus	matrix metallopeptidase 11(Mmp11)
MMP11	ENSMUST00000132869	Mus musculus	matrix metallopeptidase 11(Mmp11)
MMP11	ENSMUST00000120281	Mus musculus	matrix metallopeptidase 11(Mmp11)
MMP11	ENSMUST00000152222	Mus musculus	matrix metallopeptidase 11(Mmp11)
MMP11	ENSMUST00000133897	Mus musculus	matrix metallopeptidase 11(Mmp11)
TMEFF2	ENSMUST00000081851	Mus musculus	transmembrane protein with EGF-like and two follistatin-like domains 2(Tmeff2)
TMEFF2	ENSMUST00000114565	Mus musculus	transmembrane protein with EGF-like and two follistatin-like domains 2(Tmeff2)
TMEFF2	ENSMUST00000186103	Mus musculus	transmembrane protein with EGF-like and two follistatin-like domains 2(Tmeff2)
TMEFF2	ENSMUST00000139157	Mus musculus	transmembrane protein with EGF-like and two follistatin-like domains 2(Tmeff2)
OAF	ENSMUST00000034512	Mus musculus	out at first homolog(Oaf)
PXDN	ENSMUST00000155318	Mus musculus	peroxidasin(Pxdn)
PXDN	ENSMUST00000155190	Mus musculus	peroxidasin(Pxdn)
PXDN	ENSMUST00000118321	Mus musculus	peroxidasin(Pxdn)
PXDN	ENSMUST00000126233	Mus musculus	peroxidasin(Pxdn)
PXDN	ENSMUST00000137316	Mus musculus	peroxidasin(Pxdn)
PXDN	ENSMUST00000122328	Mus musculus	peroxidasin(Pxdn)
CHST5	ENSMUST00000034430	Mus musculus	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5(Chst5)
CRB2	ENSMUST00000137693	Mus musculus	crumbs family member 2(Crb2)
